Motor,Prop,U,W
Scorpion SII-4020-630KV,16x10E,14.8,1456.1
Scorpion SII-3032-690KV (V2),16x12,10.5,686.7
Scorpion SII-4020-420KV,16x12E,14.8,548.7
Scorpion SII-4020-420KV,16x12E,18.5,978.7
Scorpion SII-4020-540KV,16x12E,14.8,1080.9
Scorpion SII-4025-330KV,16x8,29.6,1604.32
Scorpion SII-4020-420KV,16x8E,18.5,742.5
Scorpion SII-4020-420KV,16x8E,22.2,1255.5
Scorpion SII-4020-540KV,16x8E,14.8,830.5
Scorpion SII-4020-540KV,16x8E,18.5,1553.0
Scorpion SII-4020-630KV,16x8E,14.8,1265.5
Scorpion SII-3032-690KV (V2),17x10,10.5,639.14
Scorpion SII-4020-420KV,17x10E,14.8,523.2
Scorpion SII-4020-420KV,17x10E,18.5,961.1
Scorpion SII-4020-540KV,17x10E,14.8,1061.2
Scorpion SII-3032-690KV (V2),17x12,10.5,758
Scorpion SII-4020-420KV,17x12E,14.8,597.0
Scorpion SII-4020-420KV,17x12E,18.5,1065.5
Scorpion SII-4020-540KV,17x12E,14.8,1163.8
Scorpion SII-4020-420KV,17x8E,18.5,814.2
Scorpion SII-4020-420KV,17x8E,22.2,1370.0
Scorpion SII-4020-540KV,17x8E,14.8,901.2
Scorpion SII-4020-630KV,17x8E,14.8,1407.9
Scorpion SII-3032-690KV (V2),18x10,10.5,723.03
Scorpion SII-4020-420KV,18x10E,14.8,549.0
Scorpion SII-4020-420KV,18x10E,18.5,981.9
Scorpion SII-4020-540KV,18x10E,14.8,1066.8
Scorpion SII-4020-420KV,18x12E,14.8,729.9
Scorpion SII-4020-420KV,18x12E,18.5,1276.6
Scorpion SII-4020-420KV,18x8E,18.5,848.7
Scorpion SII-4020-420KV,18x8E,22.2,1355.1
Scorpion SII-4020-540KV,18x8E,14.8,943.6
Scorpion SII-4020-420KV,19x10E,14.8,625.2
Scorpion SII-4020-420KV,19x10E,18.5,1103.5
Scorpion SII-4020-420KV,19x12E,14.8,711.4
Scorpion SII-4020-420KV,19x8E,14.8,617.4
Scorpion SII-4020-420KV,19x8E,18.5,1124.2
Scorpion SII-4020-540KV,19x8E,14.8,1209.3
Scorpion SII-4020-420KV,20x10E,14.8,749.5
Scorpion SII-4020-420KV,20x11E,14.8,784.6
Scorpion SII-4020-420KV,20x13E,14.8,836.0
Scorpion SII-4020-420KV,20x15E,14.8,974.7
Scorpion SII-4020-420KV,20x8E,14.8,649.6
Scorpion SII-4020-420KV,20x8E,18.5,1163.5
Scorpion SII-4020-420KV,22x10E,14.8,904.6
Scorpion SII-4020-420KV,22x12E,14.8,1016.0
Scorpion SII-3026-1190KV (V2),6x55E,17.5,502.78
Scorpion SII-3008-1090KV (V2),7x4E,14.8,200.2
Scorpion SII-3026-1190KV (V2),7x5,17.5,851.20
Scorpion SII-2208-1100KV (V2),7x5E,11.1,80.6
Scorpion SII-2215-900KV (V2),7x5E,14.8,117.5
Scorpion SII-3008-1090KV (V2),7x5E,14.8,254.9
Scorpion SII-2208-1100KV (V2),7x6E,11.1,85.2
Scorpion SII-2215-900KV (V2),7x6E,14.8,123.4
Scorpion SII-2215-900KV (V2),7x6E,14.8,123.4
Scorpion SII-3008-1090KV (V2),7x6E,11.1,124.8
Scorpion SII-3008-1090KV (V2),7x6E,14.8,267.2
Scorpion SII-3026-1190KV (V2),8x4,14,549.50
Scorpion SII-3026-1190KV (V2),8x4,17.5,1078.70
Scorpion SII-2208-1100KV (V2),8x4E,11.1,90.5
Scorpion SII-2215-900KV (V2),8x4E,11.1,64.2
Scorpion SII-2215-900KV (V2),8x4E,14.8,135.7
Scorpion SII-2215-900KV (V2),8x4E,14.8,135.7
Scorpion SII-3008-1090KV (V2),8x4E,11.1,138.9
Scorpion SII-3008-1090KV (V2),8x4E,14.8,299.1
Scorpion SII-3026-1190KV (V2),8x6,14,951.86
Scorpion SII-2208-1100KV (V2),8x6E,7.4,45.0
Scorpion SII-2208-1100KV (V2),8x6E,11.1,117.8
Scorpion SII-2215-900KV (V2),8x6E,11.1,96.3
Scorpion SII-2215-900KV (V2),8x6E,14.8,189.2
Scorpion SII-2215-900KV (V2),8x6E,14.8,189.2
Scorpion SII-3008-1090KV (V2),8x6E,11.1,203.2
Scorpion SII-3020-890KV (V2),8x6E,18.5,663.9
Scorpion SII-3026-890KV (V2),8x6E,14.8,538.6
Scorpion SII-2208-1100KV (V2),8x8E,7.4,57.6
Scorpion SII-2208-1100KV (V2),8x8E,11.1,140.2
Scorpion SII-2215-900KV (V2),8x8E,11.1,119.8
Scorpion SII-3008-1090KV (V2),8x8E,11.1,261.4
Scorpion SII-3020-890KV (V2),8x8E,14.8,448.9
Scorpion SII-3026-890KV (V2),8x8E,14.8,699.6
Scorpion SII-2208-1100KV (V2),9x4.5E,7.4,43.6
Scorpion SII-2208-1100KV (V2),9x4.5E,11.1,115.3
Scorpion SII-3026-1190KV (V2),9x4.5,10.5,368.97
Scorpion SII-3026-1190KV (V2),9x4.5,14,864.50
Scorpion SII-2215-900KV (V2),9x4.5E,11.1,90.2
Scorpion SII-3008-1090KV (V2),9x4.5E,11.1,191.8
Scorpion SII-3020-890KV (V2),9x4.5E,18.5,575.6
Scorpion SII-3026-1190KV (V2),9x6,10.5,443.42
Scorpion SII-3026-1190KV (V2),9x6,14,1032.78
Scorpion SII-3032-690KV (V2),9x6,17.5,373.63
Scorpion SII-2208-1100KV (V2),9x6E,7.4,50.1
Scorpion SII-2215-900KV (V2),9x6E,11.1,103.9
Scorpion SII-3008-1090KV (V2),9x6E,11.1,223.4
Scorpion SII-3020-890KV (V2),9x6E,14.8,364.3
Scorpion SII-3020-890KV (V2),9x6E,18.5,686.0
Scorpion SII-3026-890KV (V2),9x6E,14.8,563.5
Scorpion SII-2208-1100KV (V2),9x7.5E,7.4,64.7
Scorpion SII-3026-1190KV (V2),9x7.5,10.5,589.05
Scorpion SII-3032-690KV (V2),9x7.5,17.5,490.35
Scorpion SII-2215-900KV (V2),9x7.5E,11.1,137.9
Scorpion SII-3020-890KV (V2),9x7.5E,14.8,562.7
Scorpion SII-3026-710KV (V2),9x7.5E,18.5,691.6
Scorpion SII-3026-890KV (V2),9x7.5E,14.8,873.2
Scorpion SII-2208-1100KV (V2),9x9E,7.4,73.1
Scorpion SII-2215-900KV (V2),9x9E,11.1,162.0
Scorpion SII-3020-890KV (V2),9x9E,11.1,290.5
Scorpion SII-3020-890KV (V2),9x9E,14.8,624.3
Scorpion SII-3026-710KV (V2),9x9E,18.5,762.7
Scorpion SII-3026-890KV (V2),9x9E,11.1,442.1
Scorpion SII-3026-890KV (V2),9x9E,14.8,961.1
